previous_operator_utterance,operator_utterance,customer_utterance
オペレーター: ではですね、豊平峡温泉を例えば午後に行くとしてー、,オペレーター: はい、先程の洞窟風呂でございますね、少々お待ち下さいね。,オペレーター: はい、洞窟風呂のほうが、定山渓温泉湯の花でございますね。
オペレーター: ええ。,オペレーター: ええ。,カスタマー: 買うんですけどー
オペレーター: 街並みとな、ちょっとこう昭和を感じさせるような。,オペレーター: 感じの街なんですけどー。,オペレーター: えー、一応説明させて頂いてもよろしいでしょうか？
オペレーター: 他なにかありますか？,オペレーター: ワイン。,オペレーター: 自然、うん。
オペレーター: お客様、お勧めになるかどうかわからないんですけれどもー。,オペレーター: あのー、ランチタイムに行列が出来るようなトルコライス屋、というのは、ま、あのお客様仰られておりました地元の人が食べるようなという、意味ではまあこれ、まさに。,カスタマー: ハースッ、スハーッ。
オペレーター: なのでもしかしたらこのひげのうしだと、他よりはちょっと。,オペレーター: まちょびっとだけ割高というか。,オペレーター: ちょっとだけ値段は高いかもしれない。
オペレーター: ええ,オペレーター: ええ,オペレーター: ではお客様、こちらでは大変素晴らしいとお考えになられたということですかね？
オペレーター: 朝7時から、お昼の2時半までの営業となってま<>,オペレーター: こちらも閉店日が日曜日ですね。,オペレーター: で、こちらは、えっと、細めてツルリとした口触りの良い麺に、えー、鰹と昆布でとった、上品な薄味の出汁が程よく絡む、えー、お味となっております。
オペレーター: はい、えー、お待たせいたしました。,オペレーター: えーと、ま、いくつかございまして、例えばですね、えーと、こちらが、と,オペレーター: ま、しゅく、あっと、これ中国地方だ、<>すいません、少々お待ちください。
オペレーター: こちら吹きガラス体験っていって、あの、吹いてあのガラス作るんですけど。,オペレーター: なんかちょっとトンボ玉とかも作れますし。,オペレーター: いかがですか、こちら。
オペレーター: あとー、あの7階には、上方演芸の歴史に触れる大阪府立演芸資料館ワッハ上方があります。,オペレーター: あ、これがよろしいですか？,オペレーター: この、YESビル、NAMBAビルをちょっと、チェックしておきますね。
オペレーター: <>、えー、内容は瀬戸ないの、えあ、瀬戸内の食材を活かしながら細部までこだわった、えー、かなり綺麗な感じのコース料理を、いただけるレストランとなっております。,オペレーター: こちら、えっと、ビルの上にありますので、結構えーと、高松市の夜景なども、楽しめ<>れるような感じとなっております。,オペレーター: はい、今ご紹介した二つですとー、どちらがよろしいですかね？
オペレーター: はい、あったりですね、まあ、先ほど申し上げました貸し切りの露天風呂があったり,オペレーター: はい、あとですね、庭園がございますので、そのお庭を見ながらですね、四季の景色をお楽しみいただける場所となっております。,カスタマー: あー、あ、そうですか。
オペレーター: ただですね、私共のほうで今ご案内しているこちらお店の名前が百年古家大家というんですけれども。,オペレーター: こちらあの、はい、インターチェンジ、許田というインターチェンジがございまして、そこから30分程度の距離でございますので。,オペレーター: はい、あまりあのご心配なさらずにいただければなと思います。
オペレーター: そうですよね。なので,オペレーター: こちらもですね、仙台駅の近くですので、ちょうどいいかと思います。,オペレーター: はい。それでですね、あのー、お連れの方、妹様がですね、あの、お足が悪いということで、もしよろしければ、あの、お席とかですね、事前にご予約なさった方がいいと思うんですね。
オペレーター: はい。,オペレーター: お客様、あのーご同行者様は、何名になりますか？,オペレーター: かしこまりました、はい。
オペレーター: で、こちらがー、あのーですね、えーっと、その鳥取のー、あの郷土料理、を、あの食べれるお店となっておりますー。,オペレーター: で、あのー、松葉ガニ、と有名な蟹がございまして、はい。,カスタマー: 蟹もあるんですね？
オペレーター: ええ。,オペレーター: かしこまりました。お土産どういったものがよろしいですか？例えば洋風のものとか、和風の民芸品とかございます。,オペレーター: ではですね、こちらの方でご案内できるものをいくつか、はい、見繕ってみますねー。
オペレーター: 今調べてるんですけれどもー。うーん。,オペレーター: 例えばどうですかね、こちら…。,カスタマー: なんだろう…。
オペレーター: 今、探してますね。,オペレーター: はい。,カスタマー: 古びた感じの温泉街みたいなところ、そんなとこありますか。
オペレーター: では、例えばー,オペレーター: やはり仙台の近くですと、ちょっと都会感が強くてあまりお好みではないでしょうか？,オペレーター: なるほど、例えば温泉といって、なおかつですねー、ひなびたところというご要望かと思うんですけども―
オペレーター: こちら、おすすめではありますね。,オペレーター: あとどうしましょう、なにかしたいことってあります？,カスタマー: 最初にネイチャーガイドの、んー人が付くの、お話あったじゃないですか。
オペレーター: そうですね。なかなか、こちらも、はい、よろしいかと思うんですけど。,オペレーター: うん、よし乃さん？,カスタマー: 辛い、辛いラーメンしかないですかね？
オペレーター: 塩じめ熟成ジンギスカン、っていうのがあるお店が、えっと北えびす？,オペレーター: 塩じめ、塩じめ熟成ジンギスカン北えびすっていうお店なんですけど。,オペレーター: こちらちょっとえっとー、カウンターのみのお店になっちゃうんですが、そういったのは避けた方がいいですか？
オペレーター: であとですね、あともう一軒ですね、今申し上げました、玉澤総本店、晴れの菓店のほうに行かれるということで。,オペレーター: それではですね、今日ご案内しました内容をおさらいいたします。,オペレーター: 仙台朝市に行かれまして、そのあとで、ブランチのような感じで、えー、牡蠣の、えー、センカイフウドさんに行きましてー、で、地底の森ミュージアムに行かれまして、鯛焼き屋さんの鯛きちさんですね。そして、ずんだ餅の玉澤総本店、晴れの菓店。で、最後に、おばんざいらくらさんで、ご夕食をお召し上がりになるという。はい、グルメ旅行となりますが、よろしいでしょうか？
オペレーター: 和食だったら和食、洋食なら洋食の店みたいな感じでですね、なんかあれなんですけれどもー。,オペレーター: あのー、そうですねー、例えば、ホテルのレストランのようなところでー,オペレーター: えー、ま、お魚とかお肉とかー、色んな食材を使った…ただ、料理としてはフランス料理みたいな、ところであったりー
オペレーター: そうしますと、あのーこちらであの思う存分、あのー、はい、フルーツ狩りができるかと思うんですけれども、お客様あの山形で他に何か見てみたいですとか、あのー何か観光されたいとか、そういったご要望はございますか？,オペレーター: はい。はい。あー。はい。ただいまお調べいたしますのでお待ちください。,カスタマー: 海とか見えますかね、海も山もどっちも<>
オペレーター: はい。,オペレーター: 東大阪の方ですか？,オペレーター: 池田。
オペレーター: ふれあいなのでー、多分あの、決められた動物を触ることができるのではないかと思われるんですけれども、えーとこちらではちょっと細かいことが書いていないんですけれども。,オペレーター: はーい。,カスタマー: ふーん、ああ、いいねえ、それ。
オペレーター: そうですね、でも、おそらくこの、まあ、シュノーケリングとかができる感じですのでー、そんなになんか急な川下りみたいな感じではないんじゃないかなあっていう…,オペレーター: えーまあ、予想はできますね。,オペレーター: あ、2つ目ですか、じゃあ、こちら営業時間などもお伝えしてよろしいでしょうか？
オペレーター: はい、こちらーですね、あの大変あの、桜が綺麗な所がございましてー、はい、歴史が古く、桜の渡しと呼ばれた―、あのー渡船？,オペレーター: 船があったような場所な所で、がございまして、はい。,オペレーター: もしよろしければ、こちらとかー、ご案内致しますけれどもー。
オペレーター: はい。はいこちらそうですねなかなか本格的な温泉でございますので、はい。宜しいかと思うんですけれども。,オペレーター: はい。ですね。,オペレーター: そのほうがよろしいかと思います。
オペレーター: んで、キリコ祭りを、そのスクリーンシアターで見ることができるんですね。,オペレーター: うんー。,カスタマー: あれ？キリコ祭り自体は夏でしたっけ？
オペレーター: 津軽料理とか、そういったのって興味ありますか？,オペレーター: うーん。,オペレーター: で、お酒も飲まれるってことですもんね。
オペレーター: ただトロピカル王国なので、ちょっとここは。,オペレーター: 面白そうかなって気はするんですけども。,カスタマー: 大人でも普通に楽しめそうですかね？
オペレーター: 他はあの、なんか。,オペレーター: えっと。,オペレーター: 茶房チャ、チックタックっていうのがあるんですけれども。
オペレーター: ええ、ええ。,オペレーター: そうですよね。,カスタマー: そうですね。あもうナイスなご提案でありがとう。
オペレーター: お酒はだい、飲まれますか？,オペレーター: うん、お酒を飲みながら食べるのが好きとか、あのー、例えば食事は食事でとりたいとか。,オペレーター: そういった。
