previous_operator_utterance,operator_utterance,negative_utterance
オペレーター: 海の他にもですね、そういった、ところもございますので。,オペレーター: 気軽に散策されるのも、よろしいかと思います。,カスタマー: 喜屋武岬ですね。
オペレーター: 魚介類ですとか、野菜、北海道の野菜とかも、使った。,オペレーター: なかなか良さそうなお店で、ではございますけれども。,カスタマー: そこも、かい、海鮮があるん、あるお店ですよね？
オペレーター: こんにちは、本日はご利用ありがとうございます。,オペレーター: 今回は、どのようなご旅行、ご希望ですか?,カスタマー: ふんわりした、ははは。
オペレーター: ハーブティとかもありそうですけどね、,オペレーター: そうですね、近くに熱川のばば、バナナワニ園がありますね。,カスタマー: ははは、じゃもうばっちり自然がるところ。
オペレーター: 洋食っていうかとご、カテゴリーを外してお調べしっ、てみる、と…。,オペレーター: でもないな。,カスタマー: やっぱり和食んなちゃうのかな。<>とか。
オペレーター: <>とかアラカルト料理がご用意でき、る、おりょ、お店なんですけれども。,オペレーター: イタリアンワインとかも豊富ですので、こちらはいかがでしょうか。,カスタマー: なるほど、良さそうですね、そうゆう、グラン、グランフロントでした、あれ、グランフロントでしたっけ。
オペレーター: 入場料が大人は300円になります。,オペレーター: はは、ここを入れておきますねー。,カスタマー: ちょうどご飯食べたあとにねぇ、ちょうどよさそうな気がしますね。
オペレーター: ここは沖縄の郷土料理で、写真では豚肉とか出てるんですけれども、ちょっと居酒屋も入っていて、沖縄産の牛や豚の、や地鶏とか。,オペレーター: あと島野菜を炭火で炙った感じのお料理が中心みたいんなんですけども、こういったお料理は。,カスタマー: あれですかね。美味しそうなんですけど、子供が行っても大丈夫な雰囲気ですかね。ちょっとそれが心配で。
オペレーター: ジンギスカンで改めて調べてみますね。,オペレーター: いえいえいえ。,カスタマー: お客様結構お酒とかも飲まれる感じ…ですかね？
オペレーター: たぶん、行けば、そこら辺を歩いて見て散策するとか。神社もございますので、良いんじゃないかなっていうふうに、み、感じられるんですけれども、いかがでしょうか？,オペレーター: あっちこっちに行ってみると。結構普段は行かないですしね。,カスタマー: そうですね。時間が、時間が、さえあれ、あればー。
オペレーター: ぜ、ぜひ、立ち寄っていただける、ると、楽しいかと思うんですけれども。,オペレーター: はい。こちらがですね、朝8時45分から。,カスタマー: 早いですね。
オペレーター: 和牛のローストビーフ、と、湯葉の、日光丼っていう…、,オペレーター: 和牛と、豚の、にっ、日光豚、日光和牛と、日光豚の、合い挽きのハンバーグセットとか。,カスタマー: でもー。
オペレーター: かしこまりました。ではお調べしてみますので少々お待ち下さいませ。,オペレーター: では、お客様修学旅行の子達ですね、結構いろんな所におりますので、もしか、どこに行っても結局は遭遇してしまう可能性あるんですけれどもー。,カスタマー: ふふふ、
オペレーター: あるいはお客様、例えばことをしたいからそれにピッタリの県を探してくれみたいなご要望でも大丈夫ですよ。,オペレーター: そうなんですか！,カスタマー: 難しいな。ふふっ。
オペレーター: 先ほど申し上げましたような、そのだるまさんの方ですね。,オペレーター: どっちがよろしいですかね？,カスタマー: 地魚のフレンチ方は、予約の時に、なんと<>こちらの希望を伝えられるっておっしゃってたので。
オペレーター: では、お客様、本日はご旅行のご相談ということで、お間違えないでしょうか？,オペレーター: かしこまりました。それではお客様、もう、ご旅行の行き先は、もうお決まりでしょうか？,カスタマー: すでに決めてます。
オペレーター: はい、ただいまですね、お客様何か和食とか、洋食とかはその京都ならではの料理ですとか、そういったご要望とかはございますか？,オペレーター: ええ、か、,カスタマー: 1日あるので、洋食とかでも、京料理にこだわらず、朝食とかのジャンルでも何かちょっとおすすめがあればそれもお伺いしたいと思います。
オペレーター: キャンプ場は足、足がかりにして、モノレールで移動するというような形で楽しめると思うんですけれども。,オペレーター: あとはこ、海とかにも近いので、ビーチとかも見て回れるとは思いますので。,カスタマー: <>はどうやって行くんです？
オペレーター: ほど…。,オペレーター: ま、まずー、一つ目。,カスタマー: 良いと思いますそれ。
オペレーター: 他はあと。,オペレーター: やはり、滝でしたりとか。,カスタマー: 滝はいいかも。
オペレーター: そうですね、意外と色んなものがあります。,オペレーター: 日本の雑木林、ツンドラ、熱帯雨林とかアフリカ大陸の<>、あふ…世界中の、ジオラマ展示をしていて、昆虫の標本とかパネルがあるみたいですね。,カスタマー: ある？
オペレーター: あと惣菜とかそういったもの。70軒も市が並んでる<>,オペレーター: こちらでお間違いないでしょうか？,カスタマー: ありがとうございます、そうです。
オペレーター: 海の幸と、もやし、海の幸ってどういうものがはいっているかというと、タコとか貝柱、ゲソとかの海の幸、,オペレーター: あともやし、ねぎ、そういうのを一挙に混ぜたですね、海のごっちゃ焼きっていう鉄板焼きを売っているような店もあります。,カスタマー: なるほど、はい、
オペレーター: 明治二十九年に建てられた、教会、ございましてー。こちら、カトリック中町教会、と言います。ほう、ほう。,オペレーター: こちらお客様、行ったことはございますか？,カスタマー: ないですー。
オペレーター: 夜でございますね。,オペレーター: こちらですね、ちょっと早くてですね、夜の七時までとなっております。,カスタマー: そうです、そっかそっか。
オペレーター: ハーブとか楽しみながらー、カフェでフレッシュなハーブティーを飲むとかっていうような、ー、ことなんですけれども。,オペレーター: かなりー、観光いっぱいされますので、お疲れを癒すにはいいんじゃないかなって思うんですけど、いかがでしょうか？,カスタマー: それはいい<>、はい。
オペレーター: 大好きですか。あるいは、そば打ちとかどうでしょう。,オペレーター: こちらですね、乗馬体験とか、そば打ち体験、饅頭作り体験とか。,カスタマー: 饅頭。
オペレーター: いかがでしょうかね、こういうところは。,オペレーター: じゃあ八戸。,カスタマー: 雰囲気ありそうですね。
オペレーター: 型とかがわかるような場所になっておりまして,オペレーター: あとですね、例えば平安時代のかまぼこのレプリカがあったり,カスタマー: へぇー。
オペレーター: それでは、こちら、こちらは行かれる、もう、行きたいっていうことですよね？,オペレーター: で。,カスタマー: おいしいものが食べれたら。鹿児島、おいしいものが多いんで。
オペレーター: 伊豆の最古。,オペレーター: 伊豆最古の2400年の歴史を持つ神社です。,カスタマー: 神様のむ、難しい名前があるんですね、
オペレーター: おうどんの上に何か載っているような感じでございます。,オペレーター: ちょっとおつゆの色が分からないんですけれども。,カスタマー: もうだいぶ前のやつはもう無い、かなあ。
オペレーター: 卓球もあるかもしれないですね。,オペレーター: レクリエーションっていう、分かんない。写真がなくてー、分からないんですけれども。,カスタマー: 器具？卓球の道具とか。
オペレーター: 名前がですね、例えばだるま料理店というところがあるんですけれども。,オペレーター: 名前が何か楽しいですよね。,カスタマー: 楽しいですねー。
オペレーター: かー、なんかあの,オペレーター: 点在しているみたいな。再現されたテーマパーク<>,カスタマー: テーマパーク、江戸村みたいな…やつですかね？
オペレーター: かしこまりました。ただ、ただ今お調べいたしまーす。,オペレーター: お待たせいたしました。例えばなんですけれども。,カスタマー: 札幌市円山動物公園とございまして。
