operator_utterance,customer_utterance
オペレーター: お客さま、どのようなご旅行をお考えでしょうか？,カスタマー: とー、北海道に旅行がしたいんですけれども。
オペレーター: 出発されるお日にちは、あ、出発される季節はいつ頃になりますか？,カスタマー: とー、夏頃に予定しています。
オペレーター: はい。,カスタマー: カニとかが好きなので、カニがおいしいお店に行きたいです。
オペレーター: そうですね、あとですね、カニの他にもですね、あのー、北海道ですと大変、あの、魚介類が豊富ですので、カニを堪能しつつ他の料理も食べたいとか、そういったご要望はございますか？,カスタマー: そうですね。あ、他の海鮮料理も楽しみたいです。
オペレーター: はい。,カスタマー: あのー、イクラとかも結構好きなので気になります。
オペレーター: あとですね、あのー、他になんか、あのー、観光してみたい場所ですとか、そういったご要望はございますか？,カスタマー: とー、なんか絶景が楽しめる場所に行ってみたいです。
オペレーター: はい。,カスタマー: 動物とかがいるような。
オペレーター: あ、かしこま…。,カスタマー: もう、雄大な。うん。
オペレーター: はい。あとですね、あの、他に何か見てみたいですとか、あの、食べたいものとか、ご要望はございますか？,カスタマー: あと夜景が楽しめる場所だとかに行ってみたいです。
オペレーター: あ、はい。大丈夫です。はい。,カスタマー: とー、ヒマワリとかを見に行きたいんですけれども。
オペレーター: あと、そうですね、お客さまのほうで何かあと、あの、買いたいものですとか、他にご要望はございますか？,カスタマー: とー、ラーメンとか。
オペレーター: あのー…、今回何がしたいとか、どこか行きたいとか、そういったものが決まってれば教えてください。,カスタマー: あーちょっと、食～メインで、こう食べ歩きみたいな感じで、回れたら良いなって…。
オペレーター: 食べ歩き…。,カスタマー: で、メニューとしては、もう本当にあのー、ガッツリ系の肉料理とかが好きなんでー。
オペレーター: うん。,カスタマー: まあ特に、もしー、その牛肉～系の、なんかこう、ステーキとかすき焼きじゃないですけどー。
オペレーター: うん。,カスタマー: なんかそういう肉料理とか、あとは、まあ、牛を使ってるけどこう…、珍しいB級グルメとか。
オペレーター: うん。,カスタマー: なんかそういう所をー、こうおっきなーなんか通りとかでこう、食べ歩きーみたいなのが出来たりとかー。
オペレーター: うん。,カスタマー: まあ場合によってはまあちょっと車借りて遠出して、なんか美味しそうなステーキレストラン行くみたいな、なんかそういうのが、出来るような、なんか、場所とか県とかがあれば、行ってみたいのかなーって思って<>。
オペレーター: あーじゃあ具体的なその、場所～…、を、なんだろう、地域を絞りたい…。って感じですかね。,カスタマー: っそーですねー。なんでまあ有名な、本当に。
オペレーター: あーじゃあ具体的なその、場所～…、を、なんだろう、地域を絞りたい…。って感じですかね。,カスタマー: ねえ、松坂牛で絞っちゃってもう三重とかそっちの方に行くってのもある、あるかもしんないですしー。
