previous_operator_utterance,operator_utterance,customer_utterance
オペレーター: 本日はご利用いただきまして、ありがとうございます。,オペレーター: お客さま、どのようなご旅行をお考えでしょうか？,カスタマー: とー、北海道に旅行がしたいんですけれども。
オペレーター: 4名さまですね。少々お待ちください。,オペレーター: 出発されるお日にちは、あ、出発される季節はいつ頃になりますか？,カスタマー: とー、夏頃に予定しています。
オペレーター: はい。えーと、お客さま、あのー、北海道で、えーと、何かどこかに行きたいですとか、あのー、食べたいですとか、そういったご要望はございますか？,オペレーター: はい。,カスタマー: カニとかが好きなので、カニがおいしいお店に行きたいです。
オペレーター: はい。かしこまりました。,オペレーター: そうですね、あとですね、カニの他にもですね、あのー、北海道ですと大変、あの、魚介類が豊富ですので、カニを堪能しつつ他の料理も食べたいとか、そういったご要望はございますか？,カスタマー: そうですね。あ、他の海鮮料理も楽しみたいです。
オペレーター: そうしますとですね、例えばなんですけれども、えーとですね、二条市場大磯というお店がございまして、はい、こちらがですね、あのー、こちらですと例えば、あの、イクラ、サーモン、ウニとかですね、あの、北海道ならではの海鮮料理がございまして、こういったお店もございますが、お客さま、どうでしょうかね？,オペレーター: はい。,カスタマー: あのー、イクラとかも結構好きなので気になります。
オペレーター: ありがとうございます。,オペレーター: あとですね、あのー、他になんか、あのー、観光してみたい場所ですとか、そういったご要望はございますか？,カスタマー: とー、なんか絶景が楽しめる場所に行ってみたいです。
オペレーター: はい。夏で絶景ですので、えーと、そうですね、た、その大自然をということで、何か、あの、具体的なご要望とかございますか？,オペレーター: はい。,カスタマー: 動物とかがいるような。
オペレーター: はい。はい。,オペレーター: あ、かしこま…。,カスタマー: もう、雄大な。うん。
オペレーター: はい。,オペレーター: はい。あとですね、あの、他に何か見てみたいですとか、あの、食べたいものとか、ご要望はございますか？,カスタマー: あと夜景が楽しめる場所だとかに行ってみたいです。
オペレーター: はい。,オペレーター: あ、はい。大丈夫です。はい。,カスタマー: とー、ヒマワリとかを見に行きたいんですけれども。
オペレーター: はい。か…。はい。かしこまりました。,オペレーター: あと、そうですね、お客さまのほうで何かあと、あの、買いたいものですとか、他にご要望はございますか？,カスタマー: とー、ラーメンとか。
オペレーター: では早速なんですけども…。,オペレーター: あのー…、今回何がしたいとか、どこか行きたいとか、そういったものが決まってれば教えてください。,カスタマー: あーちょっと、食～メインで、こう食べ歩きみたいな感じで、回れたら良いなって…。
オペレーター: あのー…、今回何がしたいとか、どこか行きたいとか、そういったものが決まってれば教えてください。,オペレーター: 食べ歩き…。,カスタマー: で、メニューとしては、もう本当にあのー、ガッツリ系の肉料理とかが好きなんでー。
オペレーター: 食べ歩き…。,オペレーター: うん。,カスタマー: まあ特に、もしー、その牛肉～系の、なんかこう、ステーキとかすき焼きじゃないですけどー。
オペレーター: うん。,オペレーター: うん。,カスタマー: なんかそういう肉料理とか、あとは、まあ、牛を使ってるけどこう…、珍しいB級グルメとか。
オペレーター: うん。,オペレーター: うん。,カスタマー: なんかそういう所をー、こうおっきなーなんか通りとかでこう、食べ歩きーみたいなのが出来たりとかー。
オペレーター: うん。,オペレーター: うん。,カスタマー: まあ場合によってはまあちょっと車借りて遠出して、なんか美味しそうなステーキレストラン行くみたいな、なんかそういうのが、出来るような、なんか、場所とか県とかがあれば、行ってみたいのかなーって思って<>。
オペレーター: うん。,オペレーター: あーじゃあ具体的なその、場所～…、を、なんだろう、地域を絞りたい…。って感じですかね。,カスタマー: っそーですねー。なんでまあ有名な、本当に。
オペレーター: うん。,オペレーター: あーじゃあ具体的なその、場所～…、を、なんだろう、地域を絞りたい…。って感じですかね。,カスタマー: ねえ、松坂牛で絞っちゃってもう三重とかそっちの方に行くってのもある、あるかもしんないですしー。
オペレーター: うん。,オペレーター: あーじゃあ具体的なその、場所～…、を、なんだろう、地域を絞りたい…。って感じですかね。,カスタマー: まあ、あの関東在住なんでー、まあ近い所とかでも、もし調べてもらって、あー近いとこで、結構肉料理多い、場所ありますよってのを教えてもらえたらー、ああ、そういうとこだったら。
