operator_utterance,customer_utterance
オペレーター: はい、先程の洞窟風呂でございますね、少々お待ち下さいね。,オペレーター: はい、洞窟風呂のほうが、定山渓温泉湯の花でございますね。
オペレーター: ええ。,カスタマー: 買うんですけどー
オペレーター: 感じの街なんですけどー。,オペレーター: えー、一応説明させて頂いてもよろしいでしょうか？
オペレーター: ワイン。,オペレーター: 自然、うん。
オペレーター: あのー、ランチタイムに行列が出来るようなトルコライス屋、というのは、ま、あのお客様仰られておりました地元の人が食べるようなという、意味ではまあこれ、まさに。,カスタマー: ハースッ、スハーッ。
オペレーター: まちょびっとだけ割高というか。,オペレーター: ちょっとだけ値段は高いかもしれない。
オペレーター: ええ,オペレーター: ではお客様、こちらでは大変素晴らしいとお考えになられたということですかね？
オペレーター: こちらも閉店日が日曜日ですね。,オペレーター: で、こちらは、えっと、細めてツルリとした口触りの良い麺に、えー、鰹と昆布でとった、上品な薄味の出汁が程よく絡む、えー、お味となっております。
オペレーター: えーと、ま、いくつかございまして、例えばですね、えーと、こちらが、と,オペレーター: ま、しゅく、あっと、これ中国地方だ、<>すいません、少々お待ちください。
オペレーター: なんかちょっとトンボ玉とかも作れますし。,オペレーター: いかがですか、こちら。
オペレーター: あ、これがよろしいですか？,オペレーター: この、YESビル、NAMBAビルをちょっと、チェックしておきますね。
オペレーター: こちら、えっと、ビルの上にありますので、結構えーと、高松市の夜景なども、楽しめ<>れるような感じとなっております。,オペレーター: はい、今ご紹介した二つですとー、どちらがよろしいですかね？
オペレーター: はい、あとですね、庭園がございますので、そのお庭を見ながらですね、四季の景色をお楽しみいただける場所となっております。,カスタマー: あー、あ、そうですか。
オペレーター: こちらあの、はい、インターチェンジ、許田というインターチェンジがございまして、そこから30分程度の距離でございますので。,オペレーター: はい、あまりあのご心配なさらずにいただければなと思います。
オペレーター: こちらもですね、仙台駅の近くですので、ちょうどいいかと思います。,オペレーター: はい。それでですね、あのー、お連れの方、妹様がですね、あの、お足が悪いということで、もしよろしければ、あの、お席とかですね、事前にご予約なさった方がいいと思うんですね。
オペレーター: お客様、あのーご同行者様は、何名になりますか？,オペレーター: かしこまりました、はい。
オペレーター: で、あのー、松葉ガニ、と有名な蟹がございまして、はい。,カスタマー: 蟹もあるんですね？
オペレーター: かしこまりました。お土産どういったものがよろしいですか？例えば洋風のものとか、和風の民芸品とかございます。,オペレーター: ではですね、こちらの方でご案内できるものをいくつか、はい、見繕ってみますねー。
オペレーター: 例えばどうですかね、こちら…。,カスタマー: なんだろう…。
オペレーター: はい。,カスタマー: 古びた感じの温泉街みたいなところ、そんなとこありますか。
オペレーター: やはり仙台の近くですと、ちょっと都会感が強くてあまりお好みではないでしょうか？,オペレーター: なるほど、例えば温泉といって、なおかつですねー、ひなびたところというご要望かと思うんですけども―
オペレーター: あとどうしましょう、なにかしたいことってあります？,カスタマー: 最初にネイチャーガイドの、んー人が付くの、お話あったじゃないですか。
オペレーター: うん、よし乃さん？,カスタマー: 辛い、辛いラーメンしかないですかね？
オペレーター: 塩じめ、塩じめ熟成ジンギスカン北えびすっていうお店なんですけど。,オペレーター: こちらちょっとえっとー、カウンターのみのお店になっちゃうんですが、そういったのは避けた方がいいですか？
オペレーター: それではですね、今日ご案内しました内容をおさらいいたします。,オペレーター: 仙台朝市に行かれまして、そのあとで、ブランチのような感じで、えー、牡蠣の、えー、センカイフウドさんに行きましてー、で、地底の森ミュージアムに行かれまして、鯛焼き屋さんの鯛きちさんですね。そして、ずんだ餅の玉澤総本店、晴れの菓店。で、最後に、おばんざいらくらさんで、ご夕食をお召し上がりになるという。はい、グルメ旅行となりますが、よろしいでしょうか？
オペレーター: あのー、そうですねー、例えば、ホテルのレストランのようなところでー,オペレーター: えー、ま、お魚とかお肉とかー、色んな食材を使った…ただ、料理としてはフランス料理みたいな、ところであったりー
オペレーター: はい。はい。あー。はい。ただいまお調べいたしますのでお待ちください。,カスタマー: 海とか見えますかね、海も山もどっちも<>
オペレーター: 東大阪の方ですか？,オペレーター: 池田。
オペレーター: はーい。,カスタマー: ふーん、ああ、いいねえ、それ。
オペレーター: えーまあ、予想はできますね。,オペレーター: あ、2つ目ですか、じゃあ、こちら営業時間などもお伝えしてよろしいでしょうか？
オペレーター: 船があったような場所な所で、がございまして、はい。,オペレーター: もしよろしければ、こちらとかー、ご案内致しますけれどもー。
オペレーター: はい。ですね。,オペレーター: そのほうがよろしいかと思います。
オペレーター: うんー。,カスタマー: あれ？キリコ祭り自体は夏でしたっけ？
オペレーター: うーん。,オペレーター: で、お酒も飲まれるってことですもんね。
オペレーター: 面白そうかなって気はするんですけども。,カスタマー: 大人でも普通に楽しめそうですかね？
オペレーター: えっと。,オペレーター: 茶房チャ、チックタックっていうのがあるんですけれども。
オペレーター: そうですよね。,カスタマー: そうですね。あもうナイスなご提案でありがとう。
オペレーター: うん、お酒を飲みながら食べるのが好きとか、あのー、例えば食事は食事でとりたいとか。,オペレーター: そういった。
オペレーター: で、ちょっと宿だと、お調べしてわ、宿かどうかが分かりかねるので、えーと、ちょっといったん別府の温泉って形でお調べしまして、あのー、こちらき、ん、北浜温泉。,オペレーター: きた、北浜温泉テルマスっていうところがあるんですが、こちらがあのー、べっぷえふ、別府駅から東に1キロほど、ま、的ヶ浜、てきがはま、あのー、射的のてきにがはまっていう、まとがはまか、てきがはまか、公園脇にある、そのー、こちら市営温泉なんですけど、あのー、水着を着て野外で健康浴ができる。
オペレーター: あの、甘味でよろしいですよね。,オペレーター: 甘味処。
オペレーター: ラベンダーだと結構なかっ…食べ物、あっ。,オペレーター: ラベンダーがー、あのー、有名なのは、富良野のー公園が出てきてしまっているんですけれども、札幌からは離れているんですが、富良野も、いかがですかー？
オペレーター: お昼森の中で食べて、夕飯はシーサイドに食べるとか。,オペレーター: あるいはですね、まあお昼に海を見たほうが綺麗かもしれませんので、お昼はシーサイドのレストランを探して。
オペレーター: あの、食べ頃を見極めた上質なフルーツが出されます。,オペレーター: はい、こちらなかなか、はい、よろしいかと思うんですけど。
オペレーター: はい。あの割と賑やかなところの、はい、お店の1つとなっております。,オペレーター: で、こちらですね、あのー、夕方6時からの営業となっておりますので。
オペレーター: あー、効能のほうが書かれてないですね。,オペレーター: 美肌効果があるとは書いて、あ。
オペレーター: で、おあと、まお酒も飲むっていうのであれば、えーおつまみとして辛子蓮根とか。,オペレーター: 明太子、などもあります。
オペレーター: ですよねー。ええ。私の方も初めて聞きまして、こちら、はっと鍋、,オペレーター: どういったものかと言いますとー、塩味で、魚介をふんだんに使った、お料理だそうでしてー、
オペレーター: 入るとか、行くとかっていうような感じで楽しめるんじゃないかなと思いますけれども。,オペレーター: いかがですかねー。
オペレーター: あ、はい、ありがとうございます。,オペレーター: あとはー、えーと、一応、えー、ロープウェイに乗ってー
オペレーター: そうですね。夜は安くなります。,オペレーター: 21時ですから、9時までです。はい。
オペレーター: 本日は、ご利用いただきまして、ありがとうございます。,オペレーター: お客様、今日は、ご旅行のご相談でよろしいでしょうか。
オペレーター: あ、えーとね、それはアイスクリームなんですけど。,オペレーター: はい。スノーロイヤルというアイスクリームが790円で。
オペレーター: ナガンヌ島って、ご存知でしょうか？,オペレーター: ええ、ええ、こちらナガンヌ島という、もう、本当にあのビーチしかないぐらいの、すごいせ、小さい、島になってまして。
オペレーター: そうですねー。,オペレーター: あの
オペレーター: えっと、季節的にはー、は、春とか夏とか、何か。,オペレーター: じゃあ、春ということでー<>させていただきますね。
オペレーター: ええ、あのー、奥の細道に馴染みのある、あの、公園みたいですね。,オペレーター: ですよね。
オペレーター: 牡蠣…。,オペレーター: はい、そうですね、例えばなんですけれども、はい。
オペレーター: はい。,カスタマー: あのー
オペレーター: ええ。こちらはなんかあの、見た目がですね、昭和チックなお店で。,オペレーター: ええ。梅田スカイビル、地下1階にございましてー。
