,precision,recall,f1-score,support,,,,,,,
Negative,0.816479401,0.789855072,0.802946593,276,,,,,,,
Positive,0.796491228,0.822463768,0.809269162,276,,,,,,,
accuracy,0.80615942,0.80615942,0.80615942,0.80615942,,,,,,,
macro avg,0.806485314,0.80615942,0.806107878,552,,,,,,,
weighted avg,0.806485314,0.80615942,0.806107878,552,,,,,,,
Negative,0.77972028,0.807971014,0.793594306,276,,,,,,,
Positive,0.80075188,0.77173913,0.78597786,276,,,,,,,
accuracy,0.789855072,0.789855072,0.789855072,0.789855072,,,weighted avg,0.806485314,0.80615942,0.806107878,552
macro avg,0.79023608,0.789855072,0.789786083,552,,,weighted avg,0.79023608,0.789855072,0.789786083,552
weighted avg,0.79023608,0.789855072,0.789786083,552,,,weighted avg,0.802730963,0.802536232,0.802504472,552
Negative,0.795053004,0.815217391,0.805008945,276,,,,0.799817452,0.799516908,0.799466144,
Positive,0.810408922,0.789855072,0.8,276,,,,,,,
accuracy,0.802536232,0.802536232,0.802536232,0.802536232,,,,,,,
macro avg,0.802730963,0.802536232,0.802504472,552,,,,,,,
weighted avg,0.802730963,0.802536232,0.802504472,552,,,,,,,
