,precision,recall,f1-score,support,,,,,,,
No SpotRequirement,0.825203252,0.735507246,0.777777778,276,,,,,,,
SpotRequirement,0.766891892,0.822463768,0.793706294,276,,,,,,,
accuracy,0.786231884,0.786231884,0.786231884,0.786231884,,,,,,,
macro avg,0.787742821,0.786231884,0.785950891,552,,,,precision,recall,f1-score,support
weighted avg,0.787742821,0.786231884,0.785950891,552,,,weighted avg,0.787742821,0.786231884,0.785950891,552
No SpotRequirement,0.825203252,0.735507246,0.777777778,276,,,weighted avg,0.79332058,0.789855072,0.789232532,552
SpotRequirement,0.761437908,0.844202899,0.800687285,276,,,weighted avg,0.788683937,0.788043478,0.787925854,552
accuracy,0.789855072,0.789855072,0.789855072,0.789855072,,,,0.789915779,0.788043478,0.787703092,
macro avg,0.79332058,0.789855072,0.789232532,552,,,,,,,
weighted avg,0.79332058,0.789855072,0.789232532,552,,,,,,,
No SpotRequirement,0.802281369,0.764492754,0.782931354,276,,,,,,,
SpotRequirement,0.775086505,0.811594203,0.792920354,276,,,,precision,recall,f1-score,
accuracy,0.788043478,0.788043478,0.788043478,0.788043478,,,文単位分類モデル,0.799817452,0.799516908,0.799466144,
macro avg,0.788683937,0.788043478,0.787925854,552,,,対話対単位分類モデル,0.789915779,0.788043478,0.787703092,
weighted avg,0.788683937,0.788043478,0.787925854,552,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,SpotRequirement,0.766891892,0.822463768,0.793706294,276
,,,,,,,SpotRequirement,0.761437908,0.844202899,0.800687285,276
,,,,,,,SpotRequirement,0.775086505,0.811594203,0.792920354,276
,,,,,,,,0.767805435,0.826086957,0.795771311,
,,Positive,0.810408922,0.789855072,0.8,276,,,,,
,,Positive,0.80075188,0.77173913,0.78597786,276,,,,,
,,Positive,0.796491228,0.822463768,0.809269162,276,,,,,
,,,0.802550677,0.79468599,0.798415674,,,,,,
