one_previous_utterance,previous_operator_utterance,current_utterance
カスタマー: はい、はい。,オペレーター: で、春が、あの新緑が美しいと書かれております。,カスタマー: ああ、はい。
オペレーター: あの、小樽運河クルーズとございまして。,オペレーター: ああ、クルーズ！,カスタマー: はい。
オペレーター: で、ガイドが漕いでくれるので初心者でも安心、とのことです。,オペレーター: で、豊かな生態系を育む釧路川では、えー、オシドリなどのみず...えー、水鳥、ウチダザリガニ、珍しい川魚に出会えることもあります。,カスタマー: で、カガミヌマでは川の流れがなく、水面が鏡のように、えー、周辺の緑を鮮やかにうつし、うつしだしている、すごいきれいなスポットもあるということです。
カスタマー: うんー。,オペレーター: などいくつかー、まあ種類があるんですけどー。,カスタマー: うーん。
カスタマー: はい。,オペレーター: 温泉は―好きですか？,カスタマー: 温泉好きです。
オペレーター: 近くにございまして。,オペレーター: はい。,カスタマー: で、こちらがー、あのー、えーとですね、じゅ…。こちらのビルの10階にー。
カスタマー: あーはいはい。,オペレーター: こちらあの、はい、インターチェンジ、許田というインターチェンジがございまして、そこから30分程度の距離でございますので。,カスタマー: はい、あまりあのご心配なさらずにいただければなと思います。
カスタマー: そうですねー。,オペレーター: そうですね、ええ。,カスタマー: まあそれ以外にもですね、もう一か所ありましてー。
オペレーター: ちとホテルでもう一度、入れてみますね。,オペレーター: はい。,カスタマー: あ、出てまいりました。
オペレーター: 閉店日はございま、あの不定休になっておりますので、あのそこだけご注意ください。,オペレーター: ふんふんふん。,カスタマー: はい、わかりました。
オペレーター: はい、はい。,オペレーター: あとはま大阪らしい物なんか食べたいなとか、あはは、考えてます、はい。,カスタマー: はい、あ、はあ、食べて見てって感じで、はい。
カスタマー: 希少、高いものが、ほー。,オペレーター: なんか赤とか白とかこうなんかあれですか、こう有名、なんだろ、人気のあるのってわかるんですか、あるんすかなんか、そこは<>。,カスタマー: それが、載ってなくてですね、た、写真もちょっと載ってないので。
カスタマー: はい。,オペレーター: ま、池、というか、のような場所で、この大きな池は、えと、応永34年、1427年に、えと、中国の使節をあの、歓待するために作られた池となっております。,カスタマー: ほぉおーん。
オペレーター: はい。,オペレーター: だったら煮込みとか、あったほうがいいですもんね、はい。,カスタマー: で、そうですね。
オペレーター: はい。,オペレーター: 牡蠣は冬ですよね。,カスタマー: はいー。
カスタマー: すごい食べ歩きとかー、できたらいいなーと思ってるんですけど。,オペレーター: はい。,カスタマー: あ、はい。今お調べ致しますのでお待ちください。
カスタマー: ふーん。,オペレーター: 初夏、ま6月以降であれば。,カスタマー: でこちらあの、もほんとに、自然のあの温泉なので。
オペレーター: あと他にもですね、あの、たくさんお店がございまして、そうですね、例えば、あのー。,オペレーター: はい。,カスタマー: おそばですね。
オペレーター: あとどうしましょう、なにかしたいことってあります？,オペレーター: 最初にネイチャーガイドの、んー人が付くの、お話あったじゃないですか。,カスタマー: はい。
